avg_login_interval_days,duration_of_use_minutes,failed_tests_count,progress_rate,abandoned
43.24,383.2,14,0.707,1
43.45,165.7,25,0.92,1
37.19,357.5,10,0.852,1
39.7,150.1,14,0.57,1
22.34,198.4,15,0.212,1
39.64,422.2,8,0.556,1
11.01,246.8,17,0.758,0
22.19,476.8,2,0.294,0
29.95,224.6,17,0.531,1
15.02,423.2,8,0.307,0
14.34,447.0,24,0.69,0
12.59,355.8,24,0.525,1
8.9,140.4,5,0.302,1
2.24,37.4,9,0.697,0
22.19,524.3,18,0.284,1
43.45,155.2,15,0.114,1
26.05,413.4,4,0.149,1
44.73,75.5,24,0.416,1
34.95,231.3,14,0.297,1
25.67,40.8,23,0.099,1
12.06,53.3,7,0.174,1
20.38,358.3,9,0.033,1
38.71,47.4,7,0.924,1
29.82,560.5,13,0.115,1
12.1,89.6,1,0.166,0
25.7,176.7,3,0.469,0
12.4,326.3,14,0.08,1
14.64,154.0,2,0.229,0
26.5,17.3,24,0.672,1
34.08,284.9,20,0.442,0
19.73,489.5,2,0.47,0
4.89,100.7,13,0.694,0
36.65,332.3,14,0.088,1
34.81,519.6,0,0.658,0
8.6,220.3,24,0.498,1
12.16,83.0,9,0.438,1
43.8,367.3,7,0.71,1
18.48,138.7,3,0.461,0
22.53,431.4,16,0.705,0
21.36,276.8,4,0.384,0
39.59,519.1,8,0.773,1
35.49,164.0,0,0.283,1
44.95,296.3,4,0.447,1
34.38,229.4,10,0.87,1
17.36,514.3,13,0.044,0
36.55,234.7,21,0.792,1
43.42,80.1,18,0.332,1
4.67,546.7,0,0.722,0
7.12,284.3,8,0.339,0
38.36,512.1,17,0.38,1
34.22,524.1,1,0.617,0
13.07,140.4,2,0.434,0
39.29,269.0,22,0.299,1
2.71,218.3,13,0.146,0
35.7,106.1,2,0.609,0
22.5,352.0,7,0.461,1
0.62,483.8,9,0.678,0
15.68,354.6,20,0.962,0
13.74,599.6,15,0.107,0
13.46,421.1,0,0.978,0
25.55,413.1,23,0.974,0
37.51,542.2,24,0.799,1
28.72,374.4,21,0.756,1
6.33,62.8,20,0.646,1
26.16,440.8,2,0.91,0
9.2,473.0,11,0.531,0
11.71,495.7,15,0.967,0
36.23,283.7,2,0.141,0
32.64,588.1,25,0.557,1
12.05,78.5,11,0.673,0
37.04,564.5,3,0.675,0
42.45,200.2,19,0.221,1
40.94,184.8,13,0.117,1
44.82,74.1,7,0.887,1
30.24,447.2,17,0.419,1
18.79,63.9,15,0.616,1
31.12,134.3,14,0.951,1
30.92,329.0,20,0.359,1
5.67,509.6,14,0.092,0
43.7,35.1,10,0.244,1
3.27,460.3,6,0.586,0
34.89,474.2,19,0.003,1
6.02,154.1,5,0.11,1
16.25,474.1,18,0.324,1
33.43,318.0,23,0.064,1
26.8,273.9,7,0.945,0
39.04,315.3,14,0.643,0
38.16,258.6,3,0.49,1
3.82,366.9,2,0.126,0
32.1,231.6,19,0.531,1
4.64,422.6,20,0.651,0
9.83,273.7,7,0.414,0
32.89,191.0,10,0.665,1
41.55,44.9,2,0.093,1
36.57,336.0,18,0.957,1
18.6,524.8,24,0.423,1
13.09,190.9,3,0.578,0
10.25,69.4,17,0.368,1
36.36,507.9,24,0.818,1
1.38,557.8,22,0.267,0
14.04,207.2,0,0.181,0
3.32,445.9,0,0.092,0
20.52,98.7,9,0.722,0
4.01,36.3,5,0.754,1
20.05,257.3,19,0.442,0
5.3,260.8,9,0.678,0
14.02,136.2,19,0.055,0
34.58,459.7,9,0.328,0
8.07,231.2,22,0.23,1
16.07,241.3,23,0.042,0
38.82,347.6,18,0.404,1
18.35,579.9,5,0.801,0
41.41,57.4,3,0.243,1
17.93,189.6,10,0.222,1
28.57,320.7,6,0.906,0
36.89,489.9,7,0.103,1
7.05,456.7,2,0.177,0
34.0,457.1,14,0.681,1
44.4,197.3,20,0.316,1
28.49,478.8,18,0.056,1
20.45,38.8,9,0.077,1
27.75,306.7,14,0.58,0
2.04,545.9,18,0.652,0
6.96,41.8,3,0.811,0
3.98,389.4,1,0.248,0
23.62,99.5,11,0.918,0
30.61,36.2,20,0.647,1
30.59,174.1,23,0.852,1
6.94,53.5,21,0.141,0
31.49,238.2,19,0.709,1
29.03,200.4,4,0.67,0
30.91,318.2,20,0.67,1
14.04,570.9,10,0.948,0
6.36,50.9,25,0.101,1
39.79,27.5,10,0.876,1
7.11,112.6,22,0.771,1
19.81,249.5,21,0.72,1
33.91,471.4,7,0.534,0
21.21,501.9,11,0.678,0
34.67,468.0,16,0.527,0
36.1,87.3,8,0.052,1
42.06,428.3,16,0.851,0
12.42,543.7,4,0.831,0
36.79,531.4,0,0.415,0
17.5,53.6,7,0.028,0
29.32,475.9,4,0.038,1
37.43,456.5,15,0.449,1
11.67,501.8,17,0.94,0
34.97,146.4,3,0.048,1
20.68,71.0,15,0.597,1
11.04,90.4,13,0.002,1
8.59,402.6,16,0.975,0
22.93,593.1,17,0.02,1
17.53,227.1,23,0.016,1
33.04,378.8,24,0.582,1
15.98,206.4,20,0.175,1
31.35,380.9,25,0.135,1
1.86,124.9,25,0.199,0
23.29,593.5,17,0.473,0
13.02,518.0,1,0.866,0
16.69,534.2,23,0.44,1
8.57,416.8,11,0.924,0
32.77,52.0,19,0.995,1
4.8,200.1,9,0.306,0
31.1,214.2,1,0.727,0
19.69,385.5,25,0.948,0
16.48,481.7,21,0.16,0
30.58,265.7,4,0.067,1
17.35,342.5,19,0.153,1
20.09,50.7,4,0.529,0
11.38,72.5,23,0.186,0
5.48,466.1,22,0.446,1
41.26,297.3,3,0.136,1
32.16,598.4,25,0.682,1
15.76,43.6,17,0.29,1
31.99,421.6,5,0.794,1
9.2,87.6,25,0.494,1
21.14,589.9,4,0.612,0
44.98,432.7,16,0.411,1
5.81,193.6,2,0.45,0
39.53,469.3,20,0.588,1
22.73,521.6,3,0.518,0
42.08,139.2,16,0.895,1
28.65,332.8,4,0.625,1
28.92,357.1,18,0.154,1
27.31,506.3,18,0.041,1
42.69,463.8,8,0.651,1
28.83,301.3,20,0.546,1
11.17,485.4,12,0.297,1
19.89,293.1,6,0.34,0
14.51,592.9,11,0.975,0
25.36,194.9,14,0.123,1
2.47,567.5,19,0.418,0
36.64,560.6,23,0.313,1
23.26,301.8,9,0.497,0
20.68,148.2,18,0.353,1
39.73,394.3,15,0.286,1
6.2,162.4,11,0.764,0
25.75,120.8,17,0.289,1
24.83,496.1,19,0.68,0
17.85,478.0,10,0.558,1
27.19,243.8,1,0.045,1
21.42,276.9,19,0.893,0
14.47,238.8,19,0.739,1
37.31,321.7,22,0.563,1
15.04,70.2,13,0.584,0
31.02,20.9,15,0.266,0
26.12,140.4,1,0.584,0
27.96,505.5,4,0.822,0
31.58,118.5,14,0.314,1
18.58,466.1,15,0.873,1
6.39,128.4,10,0.998,0
43.06,278.5,17,0.342,1
32.5,387.8,22,0.264,0
12.7,182.6,9,0.771,0
22.11,290.5,17,0.934,1
5.66,407.6,12,0.896,0
34.83,92.2,1,0.288,1
20.02,157.6,15,0.214,1
25.38,166.6,3,0.616,1
30.21,321.0,20,0.233,1
21.36,410.3,4,0.005,0
18.43,561.3,15,0.477,0
14.59,389.3,24,0.089,1
32.6,562.3,5,0.418,0
1.83,502.5,25,0.495,0
41.69,526.7,0,0.298,0
15.21,275.3,20,0.543,0
38.33,283.5,6,0.809,0
29.24,432.6,0,0.737,0
34.13,109.4,20,0.897,1
4.09,403.2,5,0.982,0
0.51,233.2,14,0.754,0
32.59,11.8,20,0.36,1
21.05,100.0,21,0.503,1
14.13,74.9,9,0.368,0
21.62,275.7,19,0.374,0
34.13,482.2,6,0.762,0
35.47,317.7,16,0.704,1
2.97,330.9,16,0.202,1
38.48,267.9,21,0.205,1
23.06,486.2,14,0.132,1
25.23,405.3,9,0.723,0
33.61,349.1,1,0.424,0
2.9,537.1,15,0.032,0
34.51,587.1,20,0.964,0
20.29,550.7,12,0.376,0
24.36,393.9,11,0.119,1
5.91,587.3,0,0.756,0
32.42,257.4,12,0.823,1
12.55,562.8,23,0.765,0
27.75,562.1,0,0.241,0
20.2,404.9,1,0.245,0
24.38,453.9,24,0.056,1
36.75,440.3,10,0.577,0
10.81,526.4,21,0.521,1
25.14,357.0,23,0.912,1
22.4,583.5,20,0.671,1
18.85,93.8,12,0.184,1
10.3,515.2,4,0.806,0
43.56,336.6,4,0.388,1
3.74,272.6,11,0.092,1
12.23,405.8,19,0.04,0
26.52,404.5,6,0.479,1
43.07,14.1,6,0.962,0
21.66,149.3,19,0.704,1
14.61,173.4,14,0.534,1
23.17,300.9,3,0.803,0
14.55,125.9,10,0.414,1
6.74,160.2,18,0.579,1
14.98,231.0,7,0.499,0
11.73,493.8,23,0.642,1
35.81,105.7,23,0.547,1
44.57,574.6,16,0.034,1
30.14,459.8,13,0.137,1
6.97,135.1,14,0.373,0
27.82,292.5,15,0.016,1
0.95,434.7,17,0.977,0
30.4,484.7,5,0.107,1
8.8,318.2,11,0.267,0
18.39,341.2,22,0.226,1
29.49,515.6,24,0.032,1
21.53,383.9,22,0.171,1
35.34,341.7,3,0.895,1
40.58,416.9,18,0.476,1
41.67,540.1,18,0.658,0
0.9,128.3,4,0.752,0
3.65,101.7,7,0.567,0
24.42,233.4,23,0.14,1
22.64,584.7,1,0.098,1
27.31,370.2,19,0.397,1
12.45,595.6,15,0.228,0
8.52,353.6,12,0.086,0
32.15,53.8,4,0.38,1
17.66,219.6,2,0.005,1
12.29,83.8,5,0.431,0
4.83,58.3,17,0.093,1
17.46,178.6,12,0.779,0
44.67,149.4,16,0.17,1
13.69,298.4,2,0.167,0
35.26,219.9,7,0.721,0
20.71,85.6,0,0.949,0
36.22,201.1,10,0.431,1
26.83,183.8,19,0.947,1
43.41,581.4,9,0.735,0
35.23,198.9,8,0.816,1
25.46,357.4,17,0.18,1
32.78,566.1,6,0.438,0
36.89,478.4,13,0.673,1
11.52,96.7,13,0.789,0
21.67,243.5,16,0.923,1
1.85,581.2,22,0.896,0
4.01,462.5,21,0.665,0
25.43,388.8,20,0.4,0
19.48,11.3,8,0.222,1
31.01,136.5,11,0.391,1
22.62,210.3,0,0.483,0
4.05,499.6,23,0.142,1
9.47,292.3,15,0.098,1
3.21,31.6,22,0.115,1
30.54,102.8,23,0.244,1
25.28,575.3,7,0.798,0
29.65,240.4,23,0.614,1
17.62,424.3,6,0.278,0
26.07,480.7,17,0.187,1
11.95,518.3,16,0.966,0
17.79,73.0,11,0.846,0
31.83,182.0,19,0.59,1
10.89,74.6,11,0.693,0
6.38,233.3,5,0.487,0
41.9,108.1,5,0.49,1
20.4,36.9,11,0.952,1
17.4,339.1,20,0.495,1
37.83,295.8,2,0.565,1
1.66,138.8,9,0.168,0
34.51,332.1,3,0.573,0
44.59,327.5,24,0.042,1
44.54,65.9,20,0.751,0
20.35,212.4,2,0.439,0
10.82,487.4,18,0.689,0
19.38,371.6,25,0.207,1
15.92,172.2,17,0.168,1
25.86,571.7,16,0.985,1
43.33,472.5,1,0.992,1
39.0,153.6,22,0.322,1
17.79,89.6,20,0.269,1
28.59,528.7,2,0.403,0
39.5,275.5,15,0.327,1
33.03,439.9,14,0.635,0
35.85,241.6,13,0.825,1
12.9,330.6,4,0.566,0
30.78,33.8,3,0.626,1
41.84,99.0,14,0.001,1
31.05,83.5,20,0.302,1
4.38,219.5,2,0.372,0
17.96,186.8,22,0.755,1
4.46,132.0,2,0.133,0
0.62,418.9,3,0.988,0
3.37,232.9,23,0.806,0
13.61,232.7,24,0.874,0
3.26,340.2,19,0.65,0
28.34,95.1,13,0.616,1
40.37,88.3,3,0.59,0
14.29,88.2,8,0.645,0
32.51,174.5,22,0.027,1
9.4,366.1,6,0.748,0
40.43,573.0,15,0.386,1
3.38,533.8,0,0.987,0
38.76,343.2,11,0.546,1
44.43,48.4,18,0.068,1
2.91,474.6,16,0.286,0
19.18,244.4,20,0.537,1
14.08,309.2,6,0.974,0
26.47,459.1,20,0.681,0
32.9,508.6,1,0.244,1
27.63,37.7,21,0.742,1
31.91,422.4,5,0.496,0
37.05,159.3,11,0.127,1
39.91,464.0,0,0.335,0
11.98,585.2,20,0.077,1
22.58,342.3,11,0.157,0
30.4,73.6,23,0.509,1
11.16,285.7,12,0.92,0
1.78,482.9,22,0.741,0
18.85,433.6,8,0.826,0
30.36,36.3,7,0.804,0
3.29,281.7,9,0.774,0
20.66,224.5,9,0.564,0
20.98,357.1,15,0.998,0
24.69,478.6,4,0.006,1
15.72,504.5,0,0.951,0
38.24,437.7,3,0.205,1
43.26,583.7,4,0.712,0
40.4,314.3,22,0.896,1
26.22,305.7,20,0.82,1
19.69,578.7,7,0.292,0
17.8,500.0,10,0.318,1
9.28,469.1,18,0.109,0
14.27,76.8,11,0.965,0
12.07,76.3,5,0.808,0
27.23,132.9,10,0.148,0
17.95,34.1,9,0.26,1
18.32,274.1,23,0.55,1
35.76,77.3,1,0.83,1
37.1,226.5,20,0.938,1
41.3,49.6,2,0.198,1
4.32,509.1,25,0.332,0
7.73,346.5,23,0.395,0
7.94,132.8,5,0.275,1
27.71,372.1,20,0.295,1
2.93,171.5,4,0.419,0
11.36,596.5,17,0.795,0
16.29,329.0,15,0.344,1
12.32,20.5,19,0.219,1
2.82,595.0,16,0.357,0
7.35,152.5,7,0.267,0
2.7,597.9,7,0.576,0
42.1,595.0,5,0.176,0
31.45,548.8,0,0.703,0
6.57,569.3,25,0.882,0
22.17,58.7,7,0.602,0
15.06,370.4,25,0.13,0
38.02,197.5,0,0.148,1
5.17,318.1,11,0.961,0
17.92,65.1,9,0.323,0
19.77,385.4,15,0.649,0
31.27,557.7,25,0.357,1
17.15,441.7,9,0.127,0
42.7,238.0,24,0.965,1
41.46,580.7,7,0.64,0
15.04,51.3,11,0.982,0
4.17,426.8,20,0.729,1
9.59,417.4,11,0.257,1
17.49,440.9,5,0.885,0
24.66,65.3,15,0.789,0
10.31,273.5,25,0.846,1
42.83,49.1,5,0.888,1
42.39,586.9,10,0.594,1
1.59,565.8,5,0.607,0
15.03,584.8,13,0.697,0
12.08,172.5,7,0.096,0
22.19,37.4,0,0.428,0
27.09,123.8,0,0.207,0
21.42,73.7,25,0.397,1
4.28,328.8,5,0.371,0
2.2,266.6,8,0.226,1
33.9,402.1,2,0.668,0
34.09,140.4,1,0.841,0
24.19,520.8,15,0.573,1
17.89,513.1,1,0.502,0
30.55,374.1,3,0.949,0
7.69,131.1,6,0.126,0
19.71,598.4,20,0.148,1
32.77,485.4,2,0.388,0
12.57,277.6,0,0.787,0
19.0,251.6,4,0.567,0
4.69,67.9,24,0.101,1
15.61,249.5,12,0.655,0
7.91,244.8,19,0.609,1
40.05,202.2,7,0.049,1
16.89,206.0,25,0.303,1
31.39,63.4,7,0.134,1
37.2,165.3,13,0.605,1
41.12,247.3,15,0.759,1
23.28,99.6,9,0.71,0
23.69,343.4,5,0.193,0
11.38,276.6,11,0.705,0
22.83,383.1,3,0.681,0
20.19,576.5,15,0.587,1
40.27,450.6,22,0.09,1
38.45,469.0,6,0.857,0
12.25,248.7,0,0.865,0
21.44,83.7,5,0.601,1
36.27,186.7,22,0.643,1
15.82,154.9,14,0.302,1
26.39,9.4,21,0.966,1
26.8,173.2,21,0.108,0
28.9,517.6,8,0.656,0
8.64,312.8,7,0.9,0
27.08,398.0,21,0.14,1
13.44,544.6,12,0.388,0
25.83,118.0,23,0.713,1
21.51,564.7,11,0.507,0
39.47,112.8,3,0.471,1
25.24,548.0,21,0.9,1
10.21,523.5,13,0.788,0
13.37,511.5,15,0.054,0
28.01,286.0,6,0.5,1
13.57,37.2,4,0.137,1
25.71,544.4,14,0.143,1
3.82,202.9,5,0.313,0
9.58,465.3,18,0.764,0
4.14,370.6,20,0.429,0
0.41,322.6,23,0.373,1
37.53,118.4,21,0.004,1
39.49,190.7,3,0.384,1
37.11,182.4,9,0.456,1
19.63,413.6,4,0.343,0
8.64,569.1,25,0.403,0
6.08,441.8,18,0.505,0
35.69,228.2,20,0.256,1
44.76,398.9,20,0.836,1
20.11,78.5,8,0.474,0
28.44,184.2,21,0.101,1
31.59,254.2,3,0.512,1
35.36,301.2,19,0.2,1
9.23,423.5,9,0.16,0
31.03,291.0,7,0.003,0
37.62,403.1,4,0.949,1
32.62,543.3,20,0.231,1
21.0,64.4,5,0.874,0
30.52,258.5,3,0.095,1
38.37,399.7,5,0.329,0
12.22,441.2,11,0.815,0
43.31,166.7,12,0.69,1
39.9,104.2,4,0.696,0
7.34,252.5,18,0.483,1
27.59,468.6,19,0.029,1
43.81,82.7,15,0.113,1
11.92,192.0,22,0.868,0
32.63,138.3,21,0.873,1
27.9,262.5,23,0.249,1
17.44,504.2,17,0.892,1
42.06,305.8,15,0.852,1
22.23,148.3,8,0.05,1
18.27,144.8,14,0.444,1
22.53,193.1,15,0.745,1
1.81,331.7,2,0.792,0
40.08,339.6,20,0.671,1
2.63,137.6,14,0.332,0
32.31,221.2,14,0.114,1
15.49,498.8,25,0.292,1
2.25,102.7,4,0.822,0
11.59,121.6,3,0.93,0
35.21,431.5,3,0.757,0
30.31,78.3,14,0.457,1
43.38,7.6,23,0.049,1
21.84,307.5,5,0.692,0
4.84,396.2,19,0.883,0
44.08,550.0,24,0.248,1
13.38,483.9,4,0.413,0
13.59,422.4,10,0.712,0
9.2,376.4,9,0.687,0
32.03,585.2,5,0.504,0
5.37,214.6,15,0.583,0
30.41,536.9,17,0.286,0
23.62,20.0,4,0.053,1
35.39,590.2,21,0.251,1
13.42,453.4,1,0.359,0
30.46,339.3,7,0.742,1
35.34,480.3,9,0.693,0
18.86,473.9,21,0.313,1
11.46,374.2,24,0.86,1
28.59,427.2,11,0.755,0
34.97,578.8,9,0.449,1
43.32,442.4,3,0.377,1
6.03,352.5,8,0.006,0
1.99,557.5,19,0.051,0
29.85,296.9,18,0.55,1
23.74,574.4,16,0.068,1
24.26,59.7,7,0.883,1
13.35,570.4,19,0.53,0
44.15,10.2,21,0.346,1
41.35,150.1,1,0.683,0
42.54,234.6,17,0.724,1
34.72,311.0,16,0.446,0
8.82,310.8,3,0.167,0
0.53,44.0,21,0.63,0
37.64,127.3,22,0.879,1
36.79,47.9,21,0.154,1
4.12,37.3,25,0.252,1
41.01,247.5,14,0.63,1
30.36,323.2,20,0.72,0
2.24,509.7,11,0.928,0
13.7,56.5,24,0.927,0
1.58,98.0,7,0.136,0
24.65,576.3,4,0.298,0
39.05,390.5,0,0.554,1
0.43,360.0,17,0.548,0
33.42,436.9,6,0.413,0
7.41,136.4,8,0.194,0
38.38,511.6,17,0.461,1
3.22,63.4,23,0.581,1
30.27,144.5,9,0.62,1
20.39,371.7,9,0.693,0
36.38,575.4,5,0.005,1
33.34,264.5,11,0.134,1
20.94,218.5,9,0.487,0
3.87,172.0,4,0.891,0
28.27,437.8,0,0.85,0
26.13,462.7,6,0.906,0
44.94,285.9,24,0.149,1
26.61,515.0,4,0.465,0
22.7,399.3,25,0.982,0
6.49,99.7,18,0.949,0
33.17,292.7,11,0.04,1
12.04,144.2,21,0.207,1
21.24,275.5,1,0.04,1
43.59,382.0,8,0.835,0
7.99,393.9,11,0.588,1
11.47,583.7,7,0.516,0
22.01,291.9,19,0.007,1
10.5,311.2,8,0.212,0
32.34,75.4,7,0.415,1
30.45,290.0,18,0.161,1
2.13,346.2,5,0.135,0
6.78,104.0,5,0.517,0
28.77,527.7,23,0.662,1
20.32,595.7,15,0.171,0
35.8,493.2,5,0.623,1
30.91,553.8,19,0.591,1
5.06,125.4,16,0.684,0
8.15,541.5,19,0.039,1
5.46,291.9,4,0.902,1
42.21,408.7,13,0.522,1
23.94,141.5,25,0.482,1
36.25,545.2,22,0.576,1
34.51,546.5,2,0.283,0
8.67,426.9,25,0.007,1
17.0,127.2,25,0.316,1
29.39,155.9,17,0.424,1
30.69,454.2,13,0.552,1
25.25,292.8,9,0.578,1
6.39,519.0,3,0.748,0
7.45,132.6,12,0.786,0
30.87,36.0,12,0.965,1
6.71,555.9,13,0.088,0
27.48,436.1,12,0.614,0
26.97,567.7,5,0.64,0
29.63,483.3,9,0.195,1
31.49,371.0,21,0.036,1
7.25,598.1,24,0.399,0
9.17,14.1,22,0.069,1
37.37,549.4,11,0.347,1
43.34,275.6,12,0.575,1
4.97,48.1,9,0.34,0
11.74,325.1,25,0.575,0
25.43,463.1,24,0.34,1
40.36,517.9,15,0.116,1
44.74,407.8,7,0.8,1
24.2,422.0,8,0.248,0
36.98,50.2,5,0.477,0
12.25,568.5,21,0.93,0
10.72,149.0,8,0.207,1
27.91,97.8,3,0.12,0
22.27,8.9,17,0.958,1
14.33,539.4,18,0.869,0
41.24,171.8,7,0.75,1
19.16,564.1,1,0.502,0
8.03,586.0,22,0.518,1
30.4,230.8,3,0.325,1
24.78,146.1,15,0.959,1
19.19,254.4,24,0.372,1
8.26,83.0,18,0.686,0
36.22,335.4,12,0.196,1
21.39,10.8,13,0.5,0
23.36,433.7,25,0.487,0
2.34,63.9,5,0.06,0
28.42,272.7,10,0.26,1
36.49,209.8,13,0.121,0
9.11,347.7,20,0.538,1
14.76,308.7,24,0.737,1
13.04,380.9,4,0.868,0
19.1,369.3,12,0.849,1
10.42,193.5,9,0.71,0
39.97,469.7,11,0.748,1
7.7,513.3,4,0.728,0
31.59,52.6,5,0.397,0
21.4,37.0,24,0.397,1
11.96,97.4,20,0.932,1
33.24,268.7,4,0.131,1
29.93,516.9,10,0.864,0
42.08,331.4,4,0.97,1
26.97,380.5,20,0.877,0
24.11,545.8,15,0.54,1
16.59,159.6,9,0.011,0
6.31,175.6,17,0.008,0
21.57,10.4,13,0.798,0
24.76,117.2,17,0.437,1
29.14,497.9,7,0.263,1
34.45,546.4,25,0.694,1
24.03,164.9,6,0.853,0
28.73,372.5,8,0.7,1
7.02,582.0,0,0.186,0
32.24,437.6,7,0.09,1
19.03,472.5,15,0.998,0
15.0,506.9,4,0.056,1
21.26,119.4,8,0.817,1
34.61,153.1,24,0.975,0
9.12,442.5,3,0.521,0
30.73,190.7,10,0.159,1
24.82,77.7,15,0.639,0
38.89,134.6,3,0.236,1
35.79,352.9,12,0.789,1
35.3,287.8,19,0.155,1
22.6,413.1,10,0.931,0
2.88,388.5,22,0.536,0
14.39,337.2,20,0.757,1
8.84,415.1,11,0.724,1
31.86,337.6,17,0.697,1
15.78,440.8,8,0.868,0
7.38,321.0,14,0.296,0
0.23,384.6,12,0.734,0
16.51,374.0,10,0.721,0
17.56,316.8,15,0.766,1
18.56,196.6,3,0.523,0
6.01,524.7,6,0.107,1
28.95,236.2,15,0.526,1
16.61,365.5,2,0.013,0
41.79,500.1,14,0.801,1
42.23,252.5,11,0.794,1
23.9,441.9,9,0.078,0
4.73,142.5,12,0.189,1
28.21,111.4,23,0.558,1
26.03,406.3,22,0.665,1
8.28,243.9,10,0.658,0
42.02,542.0,17,0.991,1
34.44,261.2,23,0.323,1
17.0,332.4,23,0.254,1
17.99,437.2,9,0.596,0
13.72,183.7,7,0.215,0
42.46,494.3,17,0.511,1
4.42,278.9,4,0.138,0
10.64,487.6,2,0.57,0
3.66,198.2,15,0.173,0
26.02,545.1,19,0.642,0
17.29,469.2,24,0.334,1
41.88,76.7,24,0.227,1
0.71,467.6,12,0.054,0
25.51,199.5,22,0.221,1
17.8,270.1,19,0.575,1
35.43,93.1,10,0.083,1
18.08,55.6,16,0.434,1
21.75,122.9,12,0.652,0
33.16,151.5,2,0.266,0
26.01,72.0,13,0.424,1
26.81,19.4,9,0.169,1
36.17,375.8,14,0.045,1
16.95,455.9,2,0.112,0
41.72,521.9,9,0.014,1
20.36,18.5,6,0.74,0
33.82,331.5,19,0.73,1
1.02,351.9,21,0.527,1
9.19,419.4,8,0.053,1
17.61,166.4,21,0.36,1
39.78,235.0,12,0.509,0
21.91,360.3,2,0.186,0
41.7,17.8,7,0.922,1
33.55,15.9,21,0.352,1
44.03,303.2,25,0.062,1
45.0,594.3,17,0.949,1
17.8,86.7,23,0.382,1
28.22,140.3,7,0.573,1
27.32,272.3,4,0.207,0
36.04,518.2,9,0.689,0
19.47,545.9,24,0.145,0
14.42,336.6,23,0.118,0
32.77,460.4,13,0.961,0
37.01,383.9,23,0.274,1
8.48,458.7,19,0.617,0
26.92,142.4,0,0.359,1
22.7,364.8,22,0.65,1
21.43,102.5,7,0.032,1
12.29,250.8,23,0.671,1
8.13,573.0,14,0.867,0
20.7,151.8,12,0.776,0
32.47,239.5,23,0.572,1
31.74,27.9,3,0.452,1
44.81,313.6,12,0.984,1
